ingredient_id,ingredient_name,base_category,function_jp,function_en,function_cn,product_count,popularity_score,recommendation_score,raw_material_examples,products
ING-0047,オリーブ由来ヒドロキシチロソール,オリーブ由来成分,コレステロール|抗酸化|血圧|体脂肪|中性脂肪|リラックス|疲労感|血糖値|睡眠|目の健康|肌の健康|血管の健康|肝機能|血流|骨の健康|関節|尿酸値,Cholesterol|Antioxidant|Blood Pressure|Body Fat|Triglycerides|Stress Relief|Anti-Fatigue|Blood Sugar|Sleep Quality|Eye Health|Skin Health|Vascular Health|Liver Health|Blood Circulation|Bone Health|Joint Health|Uric Acid,胆固醇|抗氧化|血压|体脂肪|甘油三酯|放松减压|抗疲劳|血糖调节|睡眠质量|眼部健康|皮肤健康|血管健康|肝脏健康|血液循环|骨骼健康|关节健康|尿酸水平,44,100,93,大麦乳酸発酵液ギャバ、オリーブエキス末 / オリーブエキス（デキストリン、オリーブエキス） / 【スルフォラファングルコシノレート】ケール種子エキス末、【GABA】GABA、【オリーブ由来ヒドロキシチロソール】オリーブ葉エキス末,お腹の脂肪マイナスＰＲＥＭＩＵＭ（プレミアム）|オリーブ＆ギャバの恵みａ|コレステエイド|コレステクリア|コレステロールが気になる方のメタ褒め茶プラス|コレステロール・脂肪のＷケア|コレステロール＆血圧Ｗサポート|サプリ生活プレミアム「ザクロ＋オリーブ」|サプリ生活プレミアム「ザクロ＋オリーブａ」|ヒザテクトａ|ミラクルリセット～生活習慣の輝き～|極みのオリーブ・ザクロ・ＧＡＢＡ　ａ|４つの健康数値をサポートする緑黄色野菜ミックスａ|ＭＥＤＩ‐ＢＥＳＴ（メディベスト）ｃ|Ｓａｌａｌｉａ（サラリア）|オリーブケアａ|オリーブサラサα|オリーブマンナンジュレ|オリーブ＆ギャバの恵みｄ|オリーブＬＤＬ（エルディーエル）コレステロールサポートａ|オリーブｃ|キニシナイトＧＯＬＤ（ゴールド）　コレステロール対策|キニシナイトＧＯＬＤ（ゴールド）　コレステロール対策　ｂ|コレステプラスａ|コレステ・血圧Ｗ（ダブル）ケア|コレステ脂肪のケア習慣|コレスヘルスプラス|スルフォラリズムａ|スルフォラリズムｂ|タイシヘール
ING-0048,ガレート型カテキン,緑茶カテキン,体脂肪|中性脂肪|血糖値|認知機能|腸内環境|集中力|コレステロール|血圧|リラックス|尿酸値|睡眠|疲労感|目の健康|肌の健康|抗酸化,Body Fat|Triglycerides|Blood Sugar|Cognitive Function|Gut Health|Concentration|Cholesterol|Blood Pressure|Stress Relief|Uric Acid|Sleep Quality|Anti-Fatigue|Eye Health|Skin Health|Antioxidant,体脂肪|甘油三酯|血糖调节|认知功能|肠道健康|专注力|胆固醇|血压|放松减压|尿酸水平|睡眠质量|抗疲劳|眼部健康|皮肤健康|抗氧化,44,100,93,"【ガレート型カテキン】
緑茶抽出物
【バナバ葉由来コロソリン酸】
バナバエキス
【有胞子性乳酸菌（Weizmannia coagulans SANK70258）】
有胞子性乳酸菌 / 茶（緑茶・抹茶）、緑茶抽出物 / 緑茶抽出物、植物性乳酸菌末（植物性乳酸菌（殺菌）、デキストリン）",お～いお茶　さらさら濃い茶|お～いお茶　カテキン緑茶スティック|お～いお茶　ＭＡＴＣＨＡ　ＳＨＯＴ（マッチャ　ショット）|お～いお茶濃い茶|お～いお茶濃い茶　プレミアムティーバッグ|お～いお茶濃い茶　抹茶入り緑茶|お～いお茶濃い茶　ＰＲＥＭＩＵＭ　ＳＴＲＯＮＧ（プレミアムストロング）|すらっとＳｔｙｌｅ（スタイル）|するるん緑茶|カテキン|カテキンサプリ|ビオフェルミン　スマート腸活サプリ|一番摘みのお～いお茶　かなやみどりブレンド|一番摘みのお～いお茶　ゆたかみどりブレンド|伊藤園　お～いお茶濃い茶|減減茶　カテキン桑抹茶|濃いみどり|腸活プレミアムエイト|高めのＢＭＩ（ビーエムアイ）を下げるカテキン|ＭＥＤＩ‐ＢＥＳＴ（メディベスト）ｃ|Ｗプレスケ|お～いお茶プレミアムティーバッグ一番摘み緑茶|お～いお茶濃い茶　抹茶入り緑茶　３４５ｍｌ|お～いお茶濃い茶　３５０ｍｌ|お～いお茶濃い茶ＰＲＥＭＩＵＭ　ＳＴＲＯＮＧ　Ｗ（プレミアムストロング　ダブル）|すらり毎日和漢ジンジャー|のむだけ茶|サラシア１００Ｗ＋脂肪ケア|サンクト　茶カテキン|シボヘルシａ
ING-0049,クロセチン,クロセチン,疲労感|睡眠|目の健康|リラックス|肌の健康|腸内環境|血圧,Anti-Fatigue|Sleep Quality|Eye Health|Stress Relief|Skin Health|Gut Health|Blood Pressure,抗疲劳|睡眠质量|眼部健康|放松减压|皮肤健康|肠道健康|血压,43,99,92,殺菌乳酸菌粉末、クチナシ / ラフマエキス、クチナシ色素 / 乳酸菌末(乳成分を含む)、trans-レスベラトロール、クチナシ,ぎゅっとクロセチン|ぐっすりタイムａ|ぐっすり習慣やすらぎ習慣|ぐっすり＆くっきり|にゅ～みん|ねるみるサポート|めぐりさぷり睡眠の時間|アイサポートすっきりピーチジュレ|アイサポートプラス|アイゼン|クッキリ一番ＥＸ（イーエックス）|ココカラダ　クロセチンフォーカスα|ナイトチア　クロセチン＆セラミド　１００ｍｌ|ナイトチア　クロセチン＆セラミド　１００ｍｌ（ＰＥＴ（ペット））|ナイトミン　眠る力　快眠サポートサプリａ|ネムレナイト|メノサポ|ルテイン＆ギャバの恵みａ|ロートＶ５　目×睡眠Ｗケア|快眠ケア　カプセル|明治目と睡眠Ｗサポート|眠りの華　β|睡眠サポート　カプセルａ|Ｃｌｅａｒｆｕｌ（クリアフル）|「ココカラケア睡眠プレミアム」|あんしん生活スリープ＆アイ|ぐっすり＆くっきりａ|ぐっすり＆くっきりｂ|ごぼう茶プリ　ちょう快眠　ごぼうのおかげ|すっとねリッチ
ING-0050,チャカサポニン,チャカサポニン,中性脂肪|体脂肪|血糖値|腸内環境|血圧|リラックス|疲労感|筋肉|コレステロール|血流|血管の健康|睡眠|目の健康|肝機能,Triglycerides|Body Fat|Blood Sugar|Gut Health|Blood Pressure|Stress Relief|Anti-Fatigue|Muscle Health|Cholesterol|Blood Circulation|Vascular Health|Sleep Quality|Eye Health|Liver Health,甘油三酯|体脂肪|血糖调节|肠道健康|血压|放松减压|抗疲劳|肌肉健康|胆固醇|血液循环|血管健康|睡眠质量|眼部健康|肝脏健康,41,100,92,"ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン）、茶花エキス末（マルトデキストリン、茶花抽出物）、バナバエキス、有胞子性乳酸菌 / 【スルフォラファングルコシノレート】
ブロッコリー種子エキス粉末（ブロッコリー種子エキス、マルトデキストリン）
【チャカサポニン】
茶花エキス末（マルトデキストリン、茶花抽出物） / 茶花乾燥エキス（マルトデキストリン、茶花エキス）",さらば糖脂塩|キレイの和漢　パーフェクトダイエット|シボラナイト　ダイエットコーヒー|シボリーナ　ＭＯＴＴＯ　ＭＯＴＴＯ（モット　モット）Ａ（エー）|スタイルアップラテ|トライスリムα（アルファ）|トリプルエイドＰＲＥＭＩＵＭ（プレミアム）|ネックレス|バディスリマ|ヘリマス|働く人の生活習慣サポートＥＸａ（イーエックスエー）|快調なごみ茶Ｗ|茶っ花りシボシボルン|茶花スマート|茶花生まれの　きょうの青汁|ＭＥＬＴ　ＣＯＦＦＥＥ（メルトコーヒー）|ＳＬＩＭＩＮＡ　ＤＩＥＴ（スリミナ　ダイエット）|Ｓｌｉｍ　Ｅｉｇｈｔ（スリム　エイト）|お腹の脂肪対策ａ|カロバーンＥＸ（イーエックス）ＰＲＥＭＩＵＭ（プレミアム）|カロリンピュアプレミアム|シボラナイト　コーヒー|ジーエルワンダイエット|スパークリングサプリ　シェイプ＆キュット|ダイエット焙じ茶|チャカスラット|ビフィプレミア|ヘルキュット|ヘルキュットａ|メタ褒め茶　茶花サポニンプラス
ING-0051,米由来グルコシルセラミド,セラミド,肌の健康|リラックス|骨の健康|関節|睡眠|疲労感|目の健康|抗酸化|妊活・妊娠期|免疫|血流,Skin Health|Stress Relief|Bone Health|Joint Health|Sleep Quality|Anti-Fatigue|Eye Health|Antioxidant|Pregnancy Support|Immunity|Blood Circulation,皮肤健康|放松减压|骨骼健康|关节健康|睡眠质量|抗疲劳|眼部健康|抗氧化|备孕|免疫力|血液循环,40,100,92,"米胚芽抽出物 / 機能性関与成分サケ鼻軟骨由来Ⅱ型コラーゲン、サケ鼻軟骨由来プロテオグリカン：サケ鼻軟骨抽出物
機能性関与成分米由来グルコシルセラミド：米胚芽抽出物末 / 乳酸菌末、セラミド含有米胚芽抽出物",うるるミド|キリン　おいしい免疫ケア　セラミドプラス|セラミド　モイスチュア　ｄ|セラミドプラス|チョコラＢＢ（ビービー）リッチ・セラミド|ハイヒール|ボラケアバランスｗｉｔｈ（ウィズ）セラミド　ヒハツα|モイスト＆ストレスケア|潤つやセラミド|澄（ＳＵＭＵ）|澄（ＳＵＭＵ）パックごはん|ＷＨＩＴＥ　ＰＡＮＤＯＲＡ（ホワイトパンドラ）|ＷＨＩＴＥ　ＶＥＩＬ　ｍｏｉｓｔ　Ｘｄ（ホワイトヴェール　モイスト　エックスディー）|お肌うるうる甘酒|ごはんやお　白飯|ひざ肌Ｗ（ダブル）　コラーゲン＆（アンド）セラミド|オリザ　セラミドｍｏｉｓｔ　Ａ（モイストエー）２０２０|オリザ　セラミドｍｏｉｓｔ　Ｃ（モイストシー）２０２０|サイクルミー　レモンウォーター|セラモイスト|ディープＲｅ（リ）：ゼリー|ドリエル　ユアリズム　ビューティー|ナチュライトＣＰ|ナチュライトＭ|ナチュライトＭ２|ナチュライトＭａ（エムエー）|ナチュライトＭｂ（エムビー）|娘家・美日潤|米粉セラミド|美チョコラ　リフアップモイスト
ING-0052,イチョウ葉由来フラボノイド配糖体及びイチョウ葉由来テルペンラクトン,イチョウ葉,認知機能|集中力|血流|疲労感|目の健康|筋肉|肌の健康|リラックス|関節|血糖値|体脂肪|中性脂肪|睡眠,Cognitive Function|Concentration|Blood Circulation|Anti-Fatigue|Eye Health|Muscle Health|Skin Health|Stress Relief|Joint Health|Blood Sugar|Body Fat|Triglycerides|Sleep Quality,认知功能|专注力|血液循环|抗疲劳|眼部健康|肌肉健康|皮肤健康|放松减压|关节健康|血糖调节|体脂肪|甘油三酯|睡眠质量,39,100,92,乾燥ごぼう、イチョウ葉抽出物 / ブラックジンジャー抽出物、ヒハツ抽出物、イチョウ葉抽出物、米ぬか発酵物 / イチョウ葉エキス,いきいきライフ|いちょう葉粒|ごぼう茶プリ　イチョウ葉プラス　ごぼうのおかげ|イチョウリーフ　ＥＸ（イーエックス）|イチョウ葉|イチョウ葉エキス錠　記憶のぱぱ|オメガノイド|キョーリック　イチョウ葉|クリアモア|トキワイチョウ葉エキス粒＋|トキワイチョウ葉ドリンク＋|メモリー＆アイ|記憶の極み|記憶ケア習慣|記憶スイッチ|記憶力や判断力が気になる方のイチョウ葉|認知ヘルプ|６０代からのあたまサプリ|ＢＩＯＡＧＥＮ　ＢＲＡＩＮＥＳＶＩＴＡＬ（バイオジェン　ブレインズバイタル）|ＢＲＡＩＮ　ＭＥＭＯＲＹ（ブレインメモリー）|ＣＡＦＥ　ＳＵＰＰＬＩ（カフェサプリ）イチョウ葉|Ｄｒ．Ｆｏｒｍｕｌａ　ＤＳＭＡＲＴ　イチョウ葉エキス＋（ドクターフォーミュラ　ディースマート　イチョウハエキスプラス）|ＰＵＲＡＲＩＣＯ（プラリコ）　イチョウ葉|Ｐｈａｒｍａ　ＳＥＬＥＣＴ（ファーマセレクト）イチョウ葉|ｍａｇｉｃｏイチョウ葉ＥＸ（マジコイチョウハイーエックス）|イチョウ葉アップ|イチョウ葉サプリ|イチョウ葉ドリンク健寿康|イチョウ葉ドリンク宝宝心|イチョウ葉ドリンク２１世紀
ING-0054,桑の葉由来イミノシュガー,桑の葉イミノシュガー,血糖値|体脂肪|腸内環境|肌の健康|血圧|リラックス|疲労感|中性脂肪|認知機能|睡眠|目の健康,Blood Sugar|Body Fat|Gut Health|Skin Health|Blood Pressure|Stress Relief|Anti-Fatigue|Triglycerides|Cognitive Function|Sleep Quality|Eye Health,血糖调节|体脂肪|肠道健康|皮肤健康|血压|放松减压|抗疲劳|甘油三酯|认知功能|睡眠质量|眼部健康,37,99,90,"桑葉抽出物（桑葉エキス、デキストリン）、ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン） / 【桑の葉由来イミノシュガー】
桑葉エキス末
【ブラックジンジャー由来ポリメトキシフラボン】
ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン） / 桑の葉エキス末、大麦乳酸発酵液ギャバ",すこやか桑青汁|まるごと桑の葉ａ|グリーンスタイル|コン糖ロール|トウスルー|トリプルケア　プレミアム|ファイテン　桑葉青汁　血糖セーブ|プレミアム乳青|伊右衛門プラス　血糖値対策|明治製薬　緩静|有機桑の葉茶１００％|桑の葉タブレットＰＬＵＳ（プラス）|桑の葉ブレンド茶|桑の葉若葉粉末１００％|桑の葉茶　極み|桑茶［クァヴァ］|白井田七。桑　血糖値ケア青汁|糖桑麗茶|糖脂ケアＰＲＥＭＩＵＭ（プレミアム）|糖脂サポートＷ|糖脂バランス|脂肪と血糖値のためのサプリ|血糖値ダブル対策|血糖値・脂肪のＷ（ダブル）ケア|血糖値・脂肪のＷ（ダブル）ケアａ|ＳＥＩ（セイ）|まるごと桑の葉|マルスカット|伊右衛門プラス３２５　血糖値対策|国産桑の葉茶１００％
ING-0045,コラーゲンペプチド,コラーゲン,肌の健康|関節|筋肉|骨の健康|睡眠|妊活・妊娠期,Skin Health|Joint Health|Muscle Health|Bone Health|Sleep Quality|Pregnancy Support,皮肤健康|关节健康|肌肉健康|骨骼健康|睡眠质量|备孕,46,89,89,"コラーゲンペプチド(ゼラチンを含む)(ドイツ製造)、Ｎ-アセチルグルコサミン / 【機能性関与成分：コラーゲンペプチド】コラーゲンペプチド
【機能性関与成分：こんにゃく由来グルコシルセラミド】こんにゃく芋エキス加工品 / 加水分解コラーゲン 　魚鱗由来",おいしいコラーゲンドリンク　プレミオ|おいしいコラーゲンドリンク＜ピーチ＞|おいしいコラーゲンドリンク＜レモン＞|ひざサポートコラーゲン|ひざ関節グルコサミン＆コラーゲンＷ|ふっかるコラーゲンａ|コラーゲンビューティスト|コラーゲンビューティストＥＸ（イーエックス）　ドリンク|コラーゲンビューティストＥＸ（イーエックス）　パウダー|ディープチャージ　コラーゲン|ディープチャージ　コラーゲン　スティックゼリー|ディープチャージ　コラーゲン　トロピカルパイン＆ライチゼリー|ディープチャージ　コラーゲン　ドリンク|ディープチャージ　コラーゲン　パウダー|ディープチャージ　コラーゲン　ラ・フランス　ゼリー|ディープチャージ　コラーゲン　白桃＆マンゴーゼリー|ミネルヴァ　コラーゲンパウダー|リファハリキープコラーゲン|リファハリキープコラーゲンゼリー|健康家族のひざこしコラーゲンＷ，|ＣＯＬＰＥ（コルペ）コラーゲンペプチド　Ｓｋｉｎ　Ｈｅａｌｔｈ（スキンヘルス）|ＷｈｉｔｅＣｏｌｌａｇｅｎ（ホワイトコラーゲン）２|ひざサポートコラーゲン＋（プラス）|ひざサポートコラーゲンＡ（エー）|ふっかるコラーゲン|ふっかるコラーゲンｂ|ふっかるコラーゲンｃ|ふっかるコラーゲンｄ|コラーゲンパウダーＢ|コラーゲンパウダーＤ
ING-0053,EPA・DHA,魚油（DHA・EPA）,中性脂肪|認知機能|集中力|血糖値|コレステロール|疲労感|関節|目の健康|抗酸化|血圧|血流,Triglycerides|Cognitive Function|Concentration|Blood Sugar|Cholesterol|Anti-Fatigue|Joint Health|Eye Health|Antioxidant|Blood Pressure|Blood Circulation,甘油三酯|认知功能|专注力|血糖调节|胆固醇|抗疲劳|关节健康|眼部健康|抗氧化|血压|血液循环,38,94,89,ＥＰＡ・ＤＨＡ含有精製魚油 / ＤＨＡ・ＥＰＡ含有精製マグロ油 / クリルオイル（オキアミ抽出物）,「イマーク」スティックゼリー|ごま豆乳仕立てのみんなのみかたＤＨＡ（ディーエイチエー）１２５Ｒ|さかなケア|さかな暮らし（ダブル）|すごいネギトロ　Ｆ|のむＤＨＡ＋ＥＰＡ（ディーエイチエーイーピーエー）９００|アーモンド豆乳仕立てのＤＨＡ（ディーエイチエー）|イマーク　ＥＰＡ（イーピーエー）ａｎｄ（アンド）ＤＨＡ（ディーエイチエー）シームレスカプセル|クリルオイル三洋|ナットウキナーゼさらさら粒プレミアム|ナリス　ＥＰＡ＆ＤＨＡ（イーピーエー　アンド　ディーエイチエー）|プレミアム海の元気ＤＨＡ（ディーエイチエー）|ベリエストＺ極み|マグマＥＰＡ（イーピーエー）＆（アンド）ＤＨＡ（ディーエイチエー）粒|ヨーグルト風味のＤＨＡ（ディーエイチエー）ゼリー|楽美健快ＥＰＡ＆ＤＨＡ（イーピーエーアンドディーエイチエー）|毎日これ１本ＥＰＡ（イーピーエー）＋ＤＨＡ（ディーエイチエー）ソーセージ５０|液切りいらずのしっとりツナ　ＥＰＡ・ＤＨＡ（イーピーエー・ディーエイチエー）のチカラ|瀬戸内かあちゃんの食べる小魚|青魚バランスケア　ＥＰＡ（イーピーエー）＋（プラス）ＤＨＡ（ディーエイチエー）|ＤＨＡ＆ＥＰＡ（ディーエイチエーアンドイーピーエー）|ＤＨＡ＋ＥＰＡ（ディーエイチエープラスイーピーエー）ヨーグルト|ＥＰＡ　ＤＨＡ（イーピーエー　ディーエイチエー）|ＥＰＡ＆ＤＨＡ（イーピーエーアンドディーエイチエー）|ＥＰＡ（イーピーエー）　プレミアム|ＥＰＡ（イーピーエー）・ＤＨＡ（ディーエイチエー）シームレスカプセル|ＥＰＡ＋ＤＨＡ（イーピーエープラスディーエイチエー）|Ｏｍｅｇａ（オメガ）―３　ＥＰＡ（イーピーエー）＆（アンド）ＤＨＡ（ディーエイチエー）Ｐｒｅｍｉｕｍ（プレミアム）|ごま豆乳仕立てのみんなのみかたＤＨＡ（ディーエイチエー）Ｒ|イマークスティックゼリー　Ｓ
ING-0056,非変性II型コラーゲン,コラーゲン,関節|筋肉|睡眠|体脂肪|骨の健康,Joint Health|Muscle Health|Sleep Quality|Body Fat|Bone Health,关节健康|肌肉健康|睡眠质量|体脂肪|骨骼健康,35,97,89,鶏軟骨抽出物(非変性Ⅱ型コラーゲン含有) / 鶏軟骨抽出物、ブラックジンジャー抽出物 / 鶏軟骨抽出物（非変性Ⅱ型コラーゲン含有）、ブラックジンジャー抽出物（ブラックジンジャーエキス、デキストリン）（国内製造）,ひざこし万歳ＰＲＥＭＩＵＭ（プレミアム）|ひざ関節と腰|アユミル|クレシェール活歩（クレシェールかっぽ）|ココカラダ　ひざのやつ　非変性Ⅱ型コラーゲン|ファイテン　ヒザシャキ|ラクするユーシーツー|ラクゼット|リゲインひざサポｂ|ロコモット|健康歩行|歩潤王　腰・ひざらく|歩筋サポートＥＸ（イーエックス）|皇潤　極|皇潤極ＥＸ（イーエックス）|膝腰の友|関助玉|関節の友ＮＥＸＴ（ネクスト）|関節ケア＋筋力サポート|非変性Ⅱ型コラーゲンＵＣ－Ⅱ（ユーシーツー）ａ|駿楽α（アルファ）|ＪＯＩＮＴ　ＧＵＡＲＤＩＡＮ（ジョイントガーディアン）|Ｗのちから　極Ｐｒｅｍｉｕｍ（プレミアム）|スーパートレカット|ヒザこし健康源ダブル|ヒザこし健康源プラス|ファイテン　ヒザシャキｂ（ビー）|リゲインひざサポａ|リゲイン健脚アシストａ|膝腰の友Ｒ
ING-0055,モノグルコシルヘスペリジン,モノグルコシルヘスペリジン,血流|肌の健康|中性脂肪|血圧|体脂肪|免疫|認知機能|集中力|疲労感|目の健康|腸内環境,Blood Circulation|Skin Health|Triglycerides|Blood Pressure|Body Fat|Immunity|Cognitive Function|Concentration|Anti-Fatigue|Eye Health|Gut Health,血液循环|皮肤健康|甘油三酯|血压|体脂肪|免疫力|认知功能|专注力|抗疲劳|眼部健康|肠道健康,36,94,88,"酵素処理ルチン
酵素処理ヘスペリジン / 酵素処理ヘスペリジン、植物性乳酸菌（死菌）末 / ローズヒップエキス末（機能性関与成分：ローズヒップ由来ティリロサイド）、糖転移ヘスペリジン（機能性関与成分：モノグルコシルヘスペリジン）",αＧＲ　Ｗｅｌｌｎｅｓｓ（アルファジーアール　ウェルネス）|こんにゃくチップス　ごぼう風味|ぬくぽか|キョーリック　ヘスペリジン＋（プラス）乳酸菌|スティック温巡りルイボスティー|スティック温巡りルイボスティー３０本|ビタミンバンク　ＤＨＡ|マイニチケアガム＜血圧が高めの方のミントガム＞|マッタンサーモ|万田発酵のぽかぽかライフ|中性脂肪サポート|健温計画|味覚糖のど飴　プラス　すっきりレモン|国産玄米仕込み　まろやか黒酢|美・ワカインｖｐ（ブイピイ）|ＧＯＬＤＡＹ　ＯＮ（ゴールデイ　オン）|「ほっとゆずめぐりＰｌｕｓ（プラス）」|ほっとゆず　めぐりＰｌｕｓ（プラス）|りんご酢|フェミオシス　乳酸菌＋ヘスペリジン|プラス　ステップ　サプリメント（ＰＬＵＳ　ＳＴＥＰ　ＳＵＰＰＬＥＭＥＮＴ）|プラス　ネクスト　サプリメント（ＰＬＵＳ　ＮＥＸＴ　ＳＵＰＰＬＥＭＥＮＴ）|ヘスペリジンＢＰ（ビーピー）|ヘスペリジンＳＷ（エスダブリュー）|ポカポカのたね|健草楽|冷え対策十六茶|味覚糖のど飴　プラス　はちみつ金柑|林原ヘスペリジンＴＧ（ティージー）|機能性ヘスペリジンウォーター
ING-0059,イチョウ葉フラボノイド配糖体,イチョウ葉,認知機能|集中力|血流|目の健康|免疫|疲労感,Cognitive Function|Concentration|Blood Circulation|Eye Health|Immunity|Anti-Fatigue,认知功能|专注力|血液循环|眼部健康|免疫力|抗疲劳,34,97,88,"イチョウ葉エキス / マリーゴールドエキス末(マリーゴールドエキス、デキストリン、コーヒー豆エキス)
銀杏葉エキス末 / イチョウ葉エキス末
（機能性関与成分：イチョウ葉フラボノイド配糖体、イチョウ葉テルペンラクトン）",ひろがるコーヒー|もやっとクリアａ|イチョウ葉|イチョウ葉|イチョウ葉エキス|イチョウ葉エキス|イチョウ葉エキス|イチョウ葉エキス粒|イチョウ葉エキスａ|イチョウ葉ａ|イチョウ葉ａ|キオクル|ゴールドバランす　イチョウ葉|サプリ生活プレミアム「イチョウ葉＋（プラス）」|ナチュラルメディスン　ギンコ　１２０|ネイチャーメイド　イチョウ葉|フラボンベリーα（アルファ）|ブレインアシスト　イチョウ葉Ｎｅｗ（ニュー）|健康きらり　ＤＨＡ（ディーエイチエー）・ＥＰＡ（イーピーエー）＆（アンド）イチョウ葉|免疫習慣＋（プラス）イチョウ葉|歯につきにくいガム板＜記憶力を維持するタイプ＞|歯につきにくいガム粒＜記憶力を維持するタイプ＞|脳活王|記憶のきらめき|イチョウ葉|イチョウ葉ｂ|キオクリア|ネイチャーメイド　イチョウ葉ａ|ブレインアシスト　イチョウ葉エキスα|ブレインアシスト　イチョウ葉Ｓ
ING-0060,イチョウ葉テルペンラクトン,イチョウ葉,認知機能|集中力|血流|目の健康|免疫,Cognitive Function|Concentration|Blood Circulation|Eye Health|Immunity,认知功能|专注力|血液循环|眼部健康|免疫力,33,96,88,"イチョウ葉エキス / マリーゴールドエキス末(マリーゴールドエキス、デキストリン、コーヒー豆エキス)
銀杏葉エキス末 / イチョウ葉エキス末
（機能性関与成分：イチョウ葉フラボノイド配糖体、イチョウ葉テルペンラクトン）",ひろがるコーヒー|もやっとクリアａ|イチョウ葉|イチョウ葉|イチョウ葉エキス|イチョウ葉エキス|イチョウ葉エキス|イチョウ葉エキス粒|イチョウ葉エキスａ|イチョウ葉ａ|イチョウ葉ａ|キオクル|ゴールドバランす　イチョウ葉|サプリ生活プレミアム「イチョウ葉＋（プラス）」|ナチュラルメディスン　ギンコ　１２０|ネイチャーメイド　イチョウ葉|ブレインアシスト　イチョウ葉Ｎｅｗ（ニュー）|健康きらり　ＤＨＡ（ディーエイチエー）・ＥＰＡ（イーピーエー）＆（アンド）イチョウ葉|免疫習慣＋（プラス）イチョウ葉|歯につきにくいガム板＜記憶力を維持するタイプ＞|歯につきにくいガム粒＜記憶力を維持するタイプ＞|脳活王|記憶のきらめき|イチョウ葉|イチョウ葉ｂ|キオクリア|ネイチャーメイド　イチョウ葉ａ|ブレインアシスト　イチョウ葉エキスα|ブレインアシスト　イチョウ葉Ｓ|ブレインアシスト　メモキープ
ING-0057,エピガロカテキンガレート,緑茶カテキン,血糖値|体脂肪|口腔ケア|腸内環境|目の健康|中性脂肪,Blood Sugar|Body Fat|Oral Health|Gut Health|Eye Health|Triglycerides,血糖调节|体脂肪|口腔健康|肠道健康|眼部健康|甘油三酯,35,91,86,茶 / 緑茶 / 難消化性デキストリン、サラシア濃縮エキス、海藻抽出物、緑茶抽出物、酵素処理ルチン,おいしい深蒸し知覧茶カテキン生活|おいしい深蒸し静岡茶カテキン生活|おいしい緑茶１００％|おいしく整う和漢習慣タブレット　口腔ケア|お口すっきり和種ハッカのど飴|カテキンサプリ|プレミアムカテキントリプル|ベルタスリムトリプル|メタバリア|メタバリアプレミアムＥＸ（イーエックス）|メタバリアＥＸａ（イーエックスエー）|日ノ茜ＰＬＵＳ（ひのあかねプラス）　ＴＢ２０Ｐ|有機粉末茶　いつでもカテキン|毎日の健康茶　まるごとカテキン|減減茶　カテキン桑抹茶|緑茶のチカラＷ|Ｈｉｓａｍｉｔｓｕ（ヒサミツ）　メタサポ|ＮＩＤ（ニッド）国産抹茶入り粉末濃い緑茶|みたから|オーラルサポート|サンフェノンＥＧＣｇ（イージーシージー）口腔ケアｐ|サンフェノンＥＧＣｇ（イージーシージー）血糖ｐ|シボヘルシａ|スパークリングサプリ　オーラル|清爽習慣|真茶園カテキン緑茶|真茶撰　煎茶上撰（２０本入）|緑茶のチカラ|緑茶カテキンＥＧＣＧ（イージーシージー）|食事の相棒
ING-0062,アルロース,アルロース,体脂肪|血糖値|筋肉|腸内環境|骨の健康|肌の健康,Body Fat|Blood Sugar|Muscle Health|Gut Health|Bone Health|Skin Health,体脂肪|血糖调节|肌肉健康|肠道健康|骨骼健康|皮肤健康,32,93,86,大麦粉（はだか麦）、希少糖（アルロース） / アルロース、植物性乳酸菌末(殺菌) / アルロース（メキシコ製造）,しあわせマドレーヌ|たんぱく質が１５ｇ摂れるチチヤスのむヨーグルト|アストレアプラス|アストレアＷ|アルロー酢|ダノン　ビオ　ヨーグルト　ドリンクタイプ　ブルーベリー風味ｄ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　プレーンｄ|ミラクルシュガー|ルーヴの焼ドーナツ　プレミアム|レアアルロース|八朔マーマレード|大麦＋希少糖　レンジＤＥ蒸しパン（おおむぎ　ぷらす　きしょうとう　れんじ　で　むしぱん）|希少糖アルロース|希少糖チョコレート［トウ］ダークカカオ７０％|希少糖（アルロース）×フラクトオリゴ糖|魅惑のコンソメ|＆Ｍｅ　ＣＯＦＦＥＥ（エンミーコーヒー）|ａｑｕａｂｉｃｓ（アクアビクス）|アストレアプロＦ|アストレアプロＧＮ|アストレアプロＳ２|サイクルミー　ゼリープラス　マンゴー|ダノン　ビオ　ヨーグルト　ドリンクタイプ　アップル風味ｂ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　ブルーベリー風味ａ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　ブルーベリー風味ｂ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　ブルーベリー風味ｃ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　プレーンａ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　プレーンｂ|ダノン　ビオ　ヨーグルト　ドリンクタイプ　プレーンｃ|ラカント　アルロースブレンド
