ingredient_name,ingredient_id,base_category,function_id,function_tag_jp,function_tag_en,function_tag_cn,product_count_pair,product_count_ingredient,popularity_score,recommendation_score
ローズヒップ由来ティリロサイド,ING-0022,ローズヒップティリロサイド,F05,体脂肪,Body Fat,体脂肪,70,71,100,99
クエン酸,ING-0020,クエン酸,F11,疲労感,Anti-Fatigue,抗疲劳,70,73,100,100
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F14,目の健康,Eye Health,眼部健康,68,68,100,99
大豆イソフラボン,ING-0023,大豆イソフラボン,F12,骨の健康,Bone Health,骨骼健康,66,68,100,99
ゼアキサンチン,ING-0007,ルテイン,F11,疲労感,Anti-Fatigue,抗疲劳,65,151,100,100
GABA,ING-0001,GABA,F07,認知機能,Cognitive Function,认知功能,64,833,100,100
アスタキサンチン,ING-0008,アスタキサンチン,F17,抗酸化,Antioxidant,抗氧化,64,133,100,100
イチョウ葉由来フラボノイド配糖体,ING-0028,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,63,64,100,98
イチョウ葉由来テルペンラクトン,ING-0029,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,63,64,100,98
ターミナリアベリリカ由来没食子酸,ING-0021,ターミナリアベリリカ没食子酸,F02,血糖値,Blood Sugar,血糖调节,63,72,100,100
茶カテキン,ING-0026,緑茶カテキン,F05,体脂肪,Body Fat,体脂肪,62,67,100,99
GABA,ING-0001,GABA,F19,筋肉,Muscle Health,肌肉健康,61,833,100,100
ビルベリー由来アントシアニン,ING-0031,ブルーベリー,F14,目の健康,Eye Health,眼部健康,61,61,100,98
クエン酸,ING-0020,クエン酸,F19,筋肉,Muscle Health,肌肉健康,61,73,100,100
アスタキサンチン,ING-0008,アスタキサンチン,F11,疲労感,Anti-Fatigue,抗疲劳,59,133,100,100
3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸,ING-0025,3-(4-ヒドロキシ-3-メト,F05,体脂肪,Body Fat,体脂肪,59,68,100,99
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F11,疲労感,Anti-Fatigue,抗疲劳,58,101,100,100
ビルベリー由来アントシアニン,ING-0031,ブルーベリー,F11,疲労感,Anti-Fatigue,抗疲劳,58,61,100,98
パイナップル由来グルコシルセラミド,ING-0035,セラミド,F15,肌の健康,Skin Health,皮肤健康,57,57,100,96
ビフィズス菌BB536,ING-0033,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,57,59,100,97
中鎖脂肪酸(オクタン酸、デカン酸),ING-0032,中鎖脂肪酸(オクタン酸、デカン,F05,体脂肪,Body Fat,体脂肪,57,60,100,97
DHA・EPA,ING-0034,魚油（DHA・EPA）,F04,中性脂肪,Triglycerides,甘油三酯,57,59,100,97
酢酸,ING-0027,醸造酢,F05,体脂肪,Body Fat,体脂肪,56,65,100,98
イソマルトデキストリン(食物繊維),ING-0030,食物繊維,F02,血糖値,Blood Sugar,血糖调节,56,63,100,98
ターミナリアベリリカ由来没食子酸,ING-0021,ターミナリアベリリカ没食子酸,F05,体脂肪,Body Fat,体脂肪,52,72,100,100
L-テアニン,ING-0038,テアニン,F09,睡眠,Sleep Quality,睡眠质量,51,55,100,96
スルフォラファングルコシノレート,ING-0041,スルフォラファン,F21,肝機能,Liver Health,肝脏健康,50,51,100,95
ルテオリン,ING-0039,ルテオリン,F22,尿酸値,Uric Acid,尿酸水平,50,53,100,96
L-テアニン,ING-0038,テアニン,F11,疲労感,Anti-Fatigue,抗疲劳,50,55,100,96
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F09,睡眠,Sleep Quality,睡眠质量,49,129,100,100
酢酸菌GK-1,ING-0042,醸造酢,F16,免疫,Immunity,免疫力,49,50,100,95
イソマルトデキストリン(食物繊維),ING-0030,食物繊維,F04,中性脂肪,Triglycerides,甘油三酯,49,63,100,98
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F15,肌の健康,Skin Health,皮肤健康,48,101,100,100
ターミナリアベリリカ由来没食子酸,ING-0021,ターミナリアベリリカ没食子酸,F04,中性脂肪,Triglycerides,甘油三酯,47,72,100,100
グルコサミン塩酸塩,ING-0044,グルコサミン,F13,関節,Joint Health,关节健康,47,48,100,94
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F27,血管の健康,Vascular Health,血管健康,46,57,100,96
バナバ葉由来コロソリン酸,ING-0037,バナバ葉コロソリン酸,F02,血糖値,Blood Sugar,血糖调节,45,55,100,96
ガレート型カテキン,ING-0048,緑茶カテキン,F05,体脂肪,Body Fat,体脂肪,44,44,100,93
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F06,コレステロール,Cholesterol,胆固醇,43,44,100,93
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F17,抗酸化,Antioxidant,抗氧化,43,44,100,93
DHA,ING-0040,魚油（DHA・EPA）,F04,中性脂肪,Triglycerides,甘油三酯,43,53,100,96
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F02,血糖値,Blood Sugar,血糖调节,42,249,100,100
ルテイン,ING-0002,ルテイン,F07,認知機能,Cognitive Function,认知功能,42,254,100,100
DHA,ING-0040,魚油（DHA・EPA）,F07,認知機能,Cognitive Function,认知功能,42,53,100,96
GABA,ING-0001,GABA,F02,血糖値,Blood Sugar,血糖调节,42,833,100,100
EPA,ING-0043,魚油（DHA・EPA）,F04,中性脂肪,Triglycerides,甘油三酯,42,49,100,95
GABA,ING-0001,GABA,F05,体脂肪,Body Fat,体脂肪,41,833,100,100
ルテイン,ING-0002,ルテイン,F09,睡眠,Sleep Quality,睡眠质量,40,254,100,100
米由来グルコシルセラミド,ING-0051,セラミド,F15,肌の健康,Skin Health,皮肤健康,40,40,100,92
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,39,117,100,100
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F15,肌の健康,Skin Health,皮肤健康,39,129,100,100
ゼアキサンチン,ING-0007,ルテイン,F09,睡眠,Sleep Quality,睡眠质量,39,151,100,100
チャカサポニン,ING-0050,チャカサポニン,F04,中性脂肪,Triglycerides,甘油三酯,39,41,100,92
イチョウ葉由来フラボノイド配糖体及びイチョウ葉由来テルペンラクトン,ING-0052,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,39,39,100,92
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F05,体脂肪,Body Fat,体脂肪,38,45,100,93
ゼアキサンチン,ING-0007,ルテイン,F07,認知機能,Cognitive Function,认知功能,38,151,100,100
チャカサポニン,ING-0050,チャカサポニン,F05,体脂肪,Body Fat,体脂肪,38,41,100,92
GABA,ING-0001,GABA,F04,中性脂肪,Triglycerides,甘油三酯,38,833,100,100
3-(4-ヒドロキシ-3-メトキシフェニル)プロピオン酸,ING-0025,3-(4-ヒドロキシ-3-メト,F02,血糖値,Blood Sugar,血糖调节,38,68,100,99
桑の葉由来イミノシュガー,ING-0054,桑の葉イミノシュガー,F02,血糖値,Blood Sugar,血糖调节,37,37,99,90
クロセチン,ING-0049,クロセチン,F11,疲労感,Anti-Fatigue,抗疲劳,37,43,99,92
EPA,ING-0043,魚油（DHA・EPA）,F07,認知機能,Cognitive Function,认知功能,37,49,99,94
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F10,リラックス,Stress Relief,放松减压,36,68,98,98
非変性II型コラーゲン,ING-0056,コラーゲン,F13,関節,Joint Health,关节健康,35,35,97,89
植物性乳酸菌K-1,ING-0018,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,35,75,97,99
クロセチン,ING-0049,クロセチン,F09,睡眠,Sleep Quality,睡眠质量,35,43,97,92
ルテイン,ING-0002,ルテイン,F08,集中力,Concentration,专注力,34,254,97,99
酢酸,ING-0027,醸造酢,F19,筋肉,Muscle Health,肌肉健康,34,65,97,97
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F09,睡眠,Sleep Quality,睡眠质量,34,101,97,99
イチョウ葉フラボノイド配糖体,ING-0059,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,34,34,97,88
酢酸,ING-0027,醸造酢,F11,疲労感,Anti-Fatigue,抗疲劳,33,65,96,97
イヌリン,ING-0005,イヌリン,F04,中性脂肪,Triglycerides,甘油三酯,33,160,96,98
イチョウ葉テルペンラクトン,ING-0060,イチョウ葉,F07,認知機能,Cognitive Function,认知功能,33,33,96,88
植物性乳酸菌K-1,ING-0018,乳酸菌・プロバイオティクス,F15,肌の健康,Skin Health,皮肤健康,33,75,96,98
DHA・EPA,ING-0034,魚油（DHA・EPA）,F07,認知機能,Cognitive Function,认知功能,33,59,96,95
ゼアキサンチン,ING-0007,ルテイン,F08,集中力,Concentration,专注力,32,151,95,98
クロセチン,ING-0049,クロセチン,F14,目の健康,Eye Health,眼部健康,32,43,95,91
モノグルコシルヘスペリジン,ING-0055,モノグルコシルヘスペリジン,F20,血流,Blood Circulation,血液循环,31,36,94,88
GABA,ING-0001,GABA,F06,コレステロール,Cholesterol,胆固醇,31,833,94,98
EPA・DHA,ING-0053,魚油（DHA・EPA）,F04,中性脂肪,Triglycerides,甘油三酯,31,38,94,89
イチョウ葉由来テルペンラクトン,ING-0029,イチョウ葉,F08,集中力,Concentration,专注力,30,64,93,95
イチョウ葉由来フラボノイド配糖体,ING-0028,イチョウ葉,F08,集中力,Concentration,专注力,30,64,93,95
サケ鼻軟骨由来非変性II型コラーゲン,ING-0063,コラーゲン,F12,骨の健康,Bone Health,骨骼健康,30,30,93,85
サケ鼻軟骨由来非変性II型コラーゲン,ING-0063,コラーゲン,F13,関節,Joint Health,关节健康,30,30,93,85
アルロース,ING-0062,アルロース,F05,体脂肪,Body Fat,体脂肪,30,32,93,86
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F14,目の健康,Eye Health,眼部健康,29,101,92,97
DHA,ING-0040,魚油（DHA・EPA）,F08,集中力,Concentration,专注力,29,53,92,93
L-テアニン,ING-0038,テアニン,F10,リラックス,Stress Relief,放松减压,29,55,92,93
グロビン由来バリン-バリン-チロシン-プロリン,ING-0066,グロビンバリン-バリン-チロシ,F04,中性脂肪,Triglycerides,甘油三酯,28,28,91,83
イミダゾールジペプチド,ING-0065,イミダゾールジペプチド,F11,疲労感,Anti-Fatigue,抗疲劳,28,29,91,84
EPA,ING-0043,魚油（DHA・EPA）,F08,集中力,Concentration,专注力,27,49,91,91
エピガロカテキンガレート,ING-0057,緑茶カテキン,F02,血糖値,Blood Sugar,血糖调节,27,35,91,86
大麦β-グルカン,ING-0064,β-グルカン,F02,血糖値,Blood Sugar,血糖调节,26,30,90,84
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F13,関節,Joint Health,关节健康,26,249,90,96
乳酸菌NY1301株,ING-0069,乳酸菌・プロバイオティクス,F01,腸内環境,Gut Health,肠道健康,26,26,90,82
α-リノレン酸,ING-0061,α-リノレン酸,F03,血圧,Blood Pressure,血压,25,33,89,85
コラーゲンペプチド,ING-0045,コラーゲン,F15,肌の健康,Skin Health,皮肤健康,25,46,89,89
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F06,コレステロール,Cholesterol,胆固醇,24,45,87,88
アスタキサンチン,ING-0008,アスタキサンチン,F07,認知機能,Cognitive Function,认知功能,24,133,87,95
ラフマ由来イソクエルシトリン,ING-0015,ラフマイソクエルシトリン,F10,リラックス,Stress Relief,放松减压,24,88,87,95
イソマルトデキストリン(食物繊維),ING-0030,食物繊維,F01,腸内環境,Gut Health,肠道健康,24,63,87,92
サケ鼻軟骨由来プロテオグリカン,ING-0009,プロテオグリカン,F19,筋肉,Muscle Health,肌肉健康,23,129,86,94
S-アリルシステイン,ING-0075,S-アリルシステイン,F11,疲労感,Anti-Fatigue,抗疲劳,23,23,86,79
ラフマ由来ヒペロシド,ING-0016,ラフマヒペロシド,F10,リラックス,Stress Relief,放松减压,23,87,86,94
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F07,認知機能,Cognitive Function,认知功能,23,68,86,93
ヒドロキシクエン酸,ING-0076,ガルシニア,F05,体脂肪,Body Fat,体脂肪,23,23,86,79
ヒドロキシクエン酸,ING-0076,ガルシニア,F19,筋肉,Muscle Health,肌肉健康,23,23,86,79
ガレート型カテキン,ING-0048,緑茶カテキン,F04,中性脂肪,Triglycerides,甘油三酯,22,44,85,87
ラフマ由来イソクエルシトリン,ING-0015,ラフマイソクエルシトリン,F11,疲労感,Anti-Fatigue,抗疲劳,22,88,85,94
γ-アミノ酪酸,ING-0058,γ-アミノ酪酸,F03,血圧,Blood Pressure,血压,22,34,85,83
ビルベリー由来アントシアニン,ING-0031,ブルーベリー,F15,肌の健康,Skin Health,皮肤健康,22,61,85,92
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F12,骨の健康,Bone Health,骨骼健康,22,249,85,94
コラーゲンペプチド,ING-0045,コラーゲン,F13,関節,Joint Health,关节健康,22,46,85,87
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F08,集中力,Concentration,专注力,22,68,85,93
N-アセチルグルコサミン,ING-0013,グルコサミン,F15,肌の健康,Skin Health,皮肤健康,22,94,85,94
3- (4-ヒドロキシ-3-メトキシフェニル) プロピオン酸,ING-0046,3- (4-ヒドロキシ-3-メ,F02,血糖値,Blood Sugar,血糖调节,21,45,84,87
ラフマ由来ヒペロシド,ING-0016,ラフマヒペロシド,F11,疲労感,Anti-Fatigue,抗疲劳,21,87,84,94
還元型コエンザイムQ10,ING-0011,コエンザイムQ10,F17,抗酸化,Antioxidant,抗氧化,21,101,84,94
マルトビオン酸Ca,ING-0079,マルトビオン酸Ca,F12,骨の健康,Bone Health,骨骼健康,21,21,84,77
納豆菌由来ナットウキナーゼ,ING-0078,ナットウキナーゼ,F03,血圧,Blood Pressure,血压,21,22,84,77
納豆菌由来ナットウキナーゼ,ING-0078,ナットウキナーゼ,F20,血流,Blood Circulation,血液循环,21,22,84,77
グアーガム分解物(食物繊維),ING-0071,食物繊維,F01,腸内環境,Gut Health,肠道健康,21,25,84,79
アンセリン,ING-0068,アンセリン,F22,尿酸値,Uric Acid,尿酸水平,21,27,84,80
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F04,中性脂肪,Triglycerides,甘油三酯,20,249,83,93
モリンガ種子由来グルコモリンギン,ING-0074,モリンガ種子グルコモリンギン,F11,疲労感,Anti-Fatigue,抗疲劳,20,23,83,78
N-アセチルグルコサミン,ING-0013,グルコサミン,F12,骨の健康,Bone Health,骨骼健康,20,94,83,93
ロダンテノンB,ING-0080,ロダンテノンB,F10,リラックス,Stress Relief,放松减压,20,20,83,76
ロダンテノンB,ING-0080,ロダンテノンB,F15,肌の健康,Skin Health,皮肤健康,20,20,83,76
GABA,ING-0001,GABA,F08,集中力,Concentration,专注力,20,833,83,93
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F13,関節,Joint Health,关节健康,20,57,83,90
難消化性デキストリン,ING-0073,食物繊維,F04,中性脂肪,Triglycerides,甘油三酯,20,24,83,78
こんにゃく由来グルコシルセラミド,ING-0082,セラミド,F15,肌の健康,Skin Health,皮肤健康,20,20,83,76
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F02,血糖値,Blood Sugar,血糖调节,19,117,81,92
イヌリン,ING-0005,イヌリン,F15,肌の健康,Skin Health,皮肤健康,19,160,81,92
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F11,疲労感,Anti-Fatigue,抗疲劳,19,68,81,91
イチョウ葉由来フラボノイド配糖体及びイチョウ葉由来テルペンラクトン,ING-0052,イチョウ葉,F08,集中力,Concentration,专注力,19,39,81,84
DHA・EPA,ING-0034,魚油（DHA・EPA）,F08,集中力,Concentration,专注力,19,59,81,89
アスタキサンチン,ING-0008,アスタキサンチン,F10,リラックス,Stress Relief,放松减压,18,133,80,92
鶏由来プラズマローゲン,ING-0087,鶏プラズマローゲン,F07,認知機能,Cognitive Function,认知功能,18,18,80,73
ルテイン,ING-0002,ルテイン,F15,肌の健康,Skin Health,皮肤健康,18,254,80,92
植物性乳酸菌K-1,ING-0018,乳酸菌・プロバイオティクス,F05,体脂肪,Body Fat,体脂肪,18,75,80,92
バナバ葉由来コロソリン酸,ING-0037,バナバ葉コロソリン酸,F05,体脂肪,Body Fat,体脂肪,18,55,80,88
エラグ酸,ING-0004,エラグ酸,F06,コレステロール,Cholesterol,胆固醇,18,188,80,92
ラフマ由来イソクエルシトリン,ING-0015,ラフマイソクエルシトリン,F28,妊活・妊娠期,Pregnancy Support,备孕,18,88,80,92
ラフマ由来ヒペロシド,ING-0016,ラフマヒペロシド,F28,妊活・妊娠期,Pregnancy Support,备孕,18,87,80,92
ラクチュロース,ING-0083,ラクチュロース,F01,腸内環境,Gut Health,肠道健康,18,19,80,74
GABA,ING-0001,GABA,F17,抗酸化,Antioxidant,抗氧化,18,833,80,92
レモン由来モノグルコシルヘスペリジン,ING-0086,レモンモノグルコシルヘスペリジ,F20,血流,Blood Circulation,血液循环,18,19,80,74
カルシウム ビス-3-ヒドロキシ-3-メチルブチレートモノハイドレート,ING-0089,カルシウム,F12,骨の健康,Bone Health,骨骼健康,18,18,80,73
カルシウム ビス-3-ヒドロキシ-3-メチルブチレートモノハイドレート,ING-0089,カルシウム,F19,筋肉,Muscle Health,肌肉健康,18,18,80,73
GABA,ING-0001,GABA,F01,腸内環境,Gut Health,肠道健康,17,833,79,92
バコパサポニン,ING-0090,バコパサポニン,F07,認知機能,Cognitive Function,认知功能,17,17,79,72
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F04,中性脂肪,Triglycerides,甘油三酯,17,117,79,92
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F03,血圧,Blood Pressure,血压,17,44,79,84
グルコシルセラミド,ING-0092,セラミド,F15,肌の健康,Skin Health,皮肤健康,17,17,79,72
グルコサミン塩酸塩,ING-0044,グルコサミン,F19,筋肉,Muscle Health,肌肉健康,17,48,79,86
りんご由来プロシアニジン,ING-0067,りんご,F05,体脂肪,Body Fat,体脂肪,17,27,79,78
ヒアルロン酸Na,ING-0088,ヒアルロン酸,F15,肌の健康,Skin Health,皮肤健康,17,18,79,72
イチョウ葉由来フラボノイド配糖体,ING-0028,イチョウ葉,F20,血流,Blood Circulation,血液循环,17,64,79,90
イチョウ葉由来テルペンラクトン,ING-0029,イチョウ葉,F20,血流,Blood Circulation,血液循环,17,64,79,90
有胞子性乳酸菌,ING-0010,乳酸菌・プロバイオティクス,F15,肌の健康,Skin Health,皮肤健康,16,117,77,91
マルトビオン酸,ING-0095,マルトビオン酸,F12,骨の健康,Bone Health,骨骼健康,16,16,77,70
ボタンボウフウ由来クロロゲン酸,ING-0096,コーヒー由来成分,F02,血糖値,Blood Sugar,血糖调节,16,16,77,70
乳酸菌YRC3780株,ING-0097,乳酸菌・プロバイオティクス,F10,リラックス,Stress Relief,放松减压,16,16,77,70
小麦ブラン由来アラビノキシラン,ING-0098,小麦ブランアラビノキシラン,F01,腸内環境,Gut Health,肠道健康,16,16,77,70
エピガロカテキンガレート,ING-0057,緑茶カテキン,F05,体脂肪,Body Fat,体脂肪,16,35,77,81
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F15,肌の健康,Skin Health,皮肤健康,16,57,77,87
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F03,血圧,Blood Pressure,血压,16,249,77,91
メチル化カテキン,ING-0099,緑茶カテキン,F14,目の健康,Eye Health,眼部健康,16,16,77,70
メチル化カテキン,ING-0099,緑茶カテキン,F26,アレルギー,Allergy Relief,抗过敏,16,16,77,70
エルゴチオネイン,ING-0094,エルゴチオネイン,F07,認知機能,Cognitive Function,认知功能,15,16,75,70
茶カテキン,ING-0026,緑茶カテキン,F02,血糖値,Blood Sugar,血糖调节,15,67,75,89
ビフィズス菌MCC1274,ING-0084,乳酸菌・プロバイオティクス,F07,認知機能,Cognitive Function,认知功能,15,19,75,72
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F05,体脂肪,Body Fat,体脂肪,15,44,75,83
ラフマ由来ヒペロシド,ING-0016,ラフマヒペロシド,F15,肌の健康,Skin Health,皮肤健康,15,87,75,90
ラフマ由来イソクエルシトリン,ING-0015,ラフマイソクエルシトリン,F15,肌の健康,Skin Health,皮肤健康,15,88,75,90
γ-アミノ酪酸,ING-0058,γ-アミノ酪酸,F10,リラックス,Stress Relief,放松减压,15,34,75,79
グアーガム分解物(食物繊維),ING-0071,食物繊維,F02,血糖値,Blood Sugar,血糖调节,15,25,75,76
ルテイン・ゼアキサンチン,ING-0024,ルテイン,F15,肌の健康,Skin Health,皮肤健康,15,68,75,89
N-アセチルグルコサミン,ING-0013,グルコサミン,F19,筋肉,Muscle Health,肌肉健康,15,94,75,90
大麦由来β-グルカン,ING-0100,β-グルカン,F02,血糖値,Blood Sugar,血糖调节,15,15,75,68
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F03,血圧,Blood Pressure,血压,15,57,75,86
EPA・DHA,ING-0053,魚油（DHA・EPA）,F07,認知機能,Cognitive Function,认知功能,15,38,75,81
難消化性デキストリン(食物繊維),ING-0006,食物繊維,F03,血圧,Blood Pressure,血压,15,155,75,90
乳酸菌YRC3780株,ING-0097,乳酸菌・プロバイオティクス,F09,睡眠,Sleep Quality,睡眠质量,15,16,75,70
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F11,疲労感,Anti-Fatigue,抗疲劳,15,249,75,90
リコピン,ING-0072,リコピン,F06,コレステロール,Cholesterol,胆固醇,15,24,75,75
β-クリプトキサンチン,ING-0101,β-クリプトキサンチン,F12,骨の健康,Bone Health,骨骼健康,15,15,75,68
セイタカミロバラン果実由来没食子酸,ING-0103,セイタカミロバラン果実没食子酸,F02,血糖値,Blood Sugar,血糖调节,14,14,74,67
難消化性デキストリン (食物繊維),ING-0077,食物繊維,F02,血糖値,Blood Sugar,血糖调节,14,22,74,73
エルゴチオネイン,ING-0094,エルゴチオネイン,F08,集中力,Concentration,专注力,14,16,74,69
L-92乳酸菌,ING-0104,乳酸菌・プロバイオティクス,F16,免疫,Immunity,免疫力,14,14,74,67
非変性II型コラーゲン,ING-0056,コラーゲン,F19,筋肉,Muscle Health,肌肉健康,14,35,74,79
オリーブ由来ヒドロキシチロソール,ING-0047,オリーブ由来成分,F04,中性脂肪,Triglycerides,甘油三酯,14,44,74,82
酢酸,ING-0027,醸造酢,F03,血圧,Blood Pressure,血压,14,65,74,88
酢酸菌GK-1,ING-0042,醸造酢,F26,アレルギー,Allergy Relief,抗过敏,14,50,74,84
α-リノレン酸,ING-0061,α-リノレン酸,F06,コレステロール,Cholesterol,胆固醇,14,33,74,79
松樹皮由来プロシアニジンB1及びB3,ING-0070,りんご,F06,コレステロール,Cholesterol,胆固醇,14,25,74,75
松樹皮由来プロシアニジンB1及びB3,ING-0070,りんご,F27,血管の健康,Vascular Health,血管健康,14,25,74,75
大豆由来ホスファチジルセリン,ING-0106,大豆イソフラボン,F07,認知機能,Cognitive Function,认知功能,14,14,74,67
クロセチン,ING-0049,クロセチン,F10,リラックス,Stress Relief,放松减压,14,43,74,82
カツオ由来エラスチンペプチド,ING-0036,カツオエラスチンペプチド,F20,血流,Blood Circulation,血液循环,14,57,74,86
ブラックジンジャー由来ポリメトキシフラボン,ING-0003,ブラックジンジャーポリメトキシ,F09,睡眠,Sleep Quality,睡眠质量,14,249,74,90
サラシア由来サラシノール,ING-0019,サラシアサラシノール,F05,体脂肪,Body Fat,体脂肪,13,75,72,89
